Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,6407111,HP485721,07/26/2008 02:30:00 PM,085XX S MUSKEGON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,423,4.0,10.0,46.0,14,1196638.0,1848800.0,2008,02/28/2018 03:56:25 PM,41.739979622,-87.555120042,"(41.739979622, -87.555120042)"
1,11398199,JB372830,07/31/2018 10:57:00 AM,092XX S ELLIS AVE,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,POOL ROOM,True,False,413,4.0,8.0,47.0,15,1184499.0,1843935.0,2018,08/07/2018 04:02:59 PM,41.726922145,-87.599746995,"(41.726922145, -87.599746995)"
2,5488785,HN308568,04/27/2007 10:30:00 AM,062XX N TRIPP AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,True,False,1711,17.0,39.0,12.0,05,1146911.0,1941022.0,2007,02/28/2018 03:56:25 PM,41.994137622,-87.734959049,"(41.994137622, -87.734959049)"
3,11389116,JB361368,07/23/2018 08:55:00 AM,0000X N KEELER AVE,0560,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,1115,11.0,28.0,26.0,08A,1148388.0,1899882.0,2018,07/30/2018 03:52:24 PM,41.881217483,-87.730589961,"(41.881217483, -87.730589961)"
4,12420431,JE297624,07/11/2021 06:40:00 AM,016XX W HARRISON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1231,12.0,27.0,28.0,04A,1165430.0,1897441.0,2021,07/18/2021 04:56:02 PM,41.874173691,-87.668082118,"(41.874173691, -87.668082118)"
5,1699235,G498287,08/21/2001 12:00:00 AM,003XX W 28 PL,0810,THEFT,OVER $500,STREET,False,False,2113,2.0,,,06,1174343.0,1885951.0,2001,08/17/2015 03:03:40 PM,41.842450075,-87.635700695,"(41.842450075, -87.635700695)"
6,5061155,HM660983,10/14/2006 10:00:00 PM,006XX S CENTRAL AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,False,False,1513,15.0,29.0,25.0,03,1139154.0,1896536.0,2006,02/28/2018 03:56:25 PM,41.872208575,-87.764578577,"(41.872208575, -87.764578577)"
7,9876456,HX527438,12/02/2014 11:48:00 AM,043XX W POTOMAC AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,2534,25.0,37.0,23.0,18,1147306.0,1908305.0,2014,02/10/2018 03:50:01 PM,41.904351902,-87.734347128,"(41.904351902, -87.734347128)"
8,7582927,HS386492,06/30/2010 01:00:00 AM,032XX W PIERCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1422,14.0,26.0,23.0,07,1154458.0,1910116.0,2010,02/10/2018 03:50:01 PM,41.909181404,-87.708027242,"(41.909181404, -87.708027242)"
9,10566046,HZ313634,06/18/2016 11:15:00 PM,021XX N CALIFORNIA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,POLICE FACILITY/VEH PARKING LOT,True,False,1414,14.0,35.0,22.0,18,1157345.0,1914452.0,2016,02/10/2018 03:50:01 PM,41.921021491,-87.69730355,"(41.921021491, -87.69730355)"
10,9466303,HX118914,01/18/2014 09:00:00 AM,031XX W WARREN BLVD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,True,False,1222,12.0,28.0,27.0,18,1155456.0,1900184.0,2014,02/10/2018 03:50:01 PM,41.881907051,-87.704628385,"(41.881907051, -87.704628385)"
